landa_plot	R_mean_plot	R_ste_plot
4.354300000000000068e+02	1.095440000000000025e-01	4.245497923139831056e-03
4.358000000000000114e+02	1.067789999999999989e-01	4.595185515632304110e-03
4.361600000000000250e+02	1.257030000000000092e-01	5.651886825858042605e-03
4.365299999999999727e+02	1.170719999999999955e-01	4.268239557836102024e-03
4.368999999999999773e+02	1.126980000000000065e-01	5.209337592616374892e-03
4.372599999999999909e+02	1.095359999999999945e-01	5.623247104654035926e-03
4.376299999999999955e+02	1.102449999999999958e-01	5.225508182868991019e-03
4.380000000000000000e+02	1.154679999999999873e-01	4.269642175603515812e-03
4.383600000000000136e+02	1.142230000000000051e-01	5.206586811988178978e-03
4.387300000000000182e+02	1.180410000000000209e-01	4.413969511239724391e-03
4.391000000000000227e+02	1.097870000000000096e-01	4.483592146757055946e-03
4.394599999999999795e+02	1.038829999999999892e-01	4.622764416034396730e-03
4.398299999999999841e+02	1.134709999999999885e-01	4.996690974265637596e-03
4.401899999999999977e+02	1.130079999999999973e-01	4.610862892711581167e-03
4.405600000000000023e+02	1.049719999999999959e-01	4.451993296007115096e-03
4.409300000000000068e+02	1.130210000000000103e-01	5.004734135718978856e-03
4.412900000000000205e+02	1.080910000000000065e-01	4.575620252196164854e-03
4.416600000000000250e+02	1.245480000000000198e-01	5.356594325616861711e-03
4.420299999999999727e+02	1.052660000000000123e-01	4.417796039447027985e-03
4.423899999999999864e+02	1.088610000000000133e-01	4.492883680803539878e-03
4.427599999999999909e+02	1.070139999999999841e-01	3.847767024772039655e-03
4.431200000000000045e+02	1.145430000000000198e-01	5.096872653515470593e-03
4.434900000000000091e+02	1.195959999999999940e-01	3.967738980248653249e-03
4.438600000000000136e+02	1.064119999999999927e-01	4.128993880055825162e-03
4.442200000000000273e+02	1.067769999999999830e-01	4.844811348236378185e-03
4.445899999999999750e+02	1.062380000000000130e-01	4.366619322507093483e-03
4.449499999999999886e+02	1.073609999999999981e-01	4.597651984353618923e-03
4.453199999999999932e+02	1.135639999999999983e-01	4.326892329463400723e-03
4.456800000000000068e+02	1.058810000000000029e-01	4.137764251380206953e-03
4.460500000000000114e+02	1.097309999999999952e-01	4.960697601377016784e-03
4.464200000000000159e+02	1.044069999999999998e-01	4.482088978967799578e-03
4.467799999999999727e+02	1.050139999999999824e-01	4.435081856845832574e-03
4.471499999999999773e+02	9.301699999999998858e-02	3.679481579286366343e-03
4.475099999999999909e+02	1.052219999999999961e-01	3.842486334493490623e-03
4.478799999999999955e+02	9.815700000000000813e-02	4.069471152562511955e-03
4.482400000000000091e+02	1.083960000000000062e-01	4.454818169474139729e-03
4.486100000000000136e+02	1.014820000000000028e-01	4.478124229561370774e-03
4.489700000000000273e+02	9.878099999999999381e-02	4.241414577164630099e-03
4.493399999999999750e+02	9.933699999999999475e-02	4.327970931581609157e-03
