landa_plot	R_plot	R_ste_plot
4.838799999999999955e+02	2.953939999999999899e-01	1.620976600009320714e-02
4.842400000000000091e+02	2.942460000000000075e-01	1.617174705054054071e-02
4.846100000000000136e+02	2.963150000000000506e-01	1.618771030751415055e-02
4.849700000000000273e+02	2.944029999999999703e-01	1.585061618500821848e-02
4.853299999999999841e+02	2.961459999999999648e-01	1.575676554513788866e-02
4.856899999999999977e+02	2.965800000000000103e-01	1.600012076343314618e-02
4.860500000000000114e+02	2.953589999999999827e-01	1.593839901690951438e-02
4.864100000000000250e+02	2.950270000000000392e-01	1.573212523963483933e-02
4.867799999999999727e+02	2.938370000000000148e-01	1.591162908413563948e-02
4.871399999999999864e+02	2.926690000000000125e-01	1.567066682620039952e-02
4.875000000000000000e+02	2.938260000000000316e-01	1.628797021662852298e-02
4.878600000000000136e+02	2.941360000000000641e-01	1.608933202121482983e-02
4.882200000000000273e+02	2.943729999999999958e-01	1.618459775698968470e-02
4.885799999999999841e+02	2.929579999999999962e-01	1.671588039360575456e-02
4.889399999999999977e+02	2.928710000000000480e-01	1.646425761392774148e-02
4.893100000000000023e+02	2.943540000000000045e-01	1.652039938984527570e-02
4.896700000000000159e+02	2.931970000000000409e-01	1.643839496422932339e-02
4.900299999999999727e+02	2.940829999999999833e-01	1.631043074913174004e-02
4.903899999999999864e+02	2.944490000000000163e-01	1.612229439489167374e-02
4.907500000000000000e+02	2.920229999999999770e-01	1.619165066391386673e-02
4.911100000000000136e+02	2.929100000000000037e-01	1.617411587829283709e-02
4.914700000000000273e+02	2.914530000000000176e-01	1.637288415846965828e-02
4.918299999999999841e+02	2.905119999999999925e-01	1.610304379785249332e-02
4.921899999999999977e+02	2.909229999999999317e-01	1.623088681427413069e-02
4.925600000000000023e+02	2.932879999999999932e-01	1.601605991219785460e-02
4.929200000000000159e+02	2.930369999999999919e-01	1.615522819055456236e-02
4.932799999999999727e+02	2.921509999999999385e-01	1.606627187965867579e-02
4.936399999999999864e+02	2.915269999999999806e-01	1.607944996640812627e-02
4.940000000000000000e+02	2.928069999999999840e-01	1.605453968681617646e-02
4.943600000000000136e+02	2.912889999999999646e-01	1.586419668800017127e-02
4.947200000000000273e+02	2.906790000000000207e-01	1.563439644217553756e-02
4.950799999999999841e+02	2.919899999999999718e-01	1.553953531408767096e-02
4.954399999999999977e+02	2.920319999999999583e-01	1.578546946473946902e-02
4.958000000000000114e+02	2.920820000000000083e-01	1.599400983701919007e-02
4.961600000000000250e+02	2.921420000000000128e-01	1.613505671236116837e-02
4.965199999999999818e+02	2.916030000000000011e-01	1.583327881043243915e-02
4.968799999999999955e+02	2.912720000000000309e-01	1.549909200207834521e-02
4.972400000000000091e+02	2.933740000000000236e-01	1.554236791626181086e-02
4.976000000000000227e+02	2.922550000000000425e-01	1.601717510465978933e-02
4.979599999999999795e+02	2.905889999999999862e-01	1.606818391521995862e-02
4.983199999999999932e+02	2.906490000000000462e-01	1.598510128908234643e-02
4.986800000000000068e+02	2.892770000000000619e-01	1.566606048827280315e-02
4.990400000000000205e+02	2.899960000000000315e-01	1.604726063157752361e-02
4.994100000000000250e+02	2.905099999999999905e-01	1.641567225414651207e-02
4.997699999999999818e+02	2.897229999999999528e-01	1.622524062824476018e-02
5.001299999999999955e+02	2.916009999999999991e-01	1.577409292690602066e-02
5.004900000000000091e+02	2.902699999999999725e-01	1.581999360865160922e-02
5.008500000000000227e+02	2.898470000000000768e-01	1.542935903111698065e-02
5.012099999999999795e+02	2.907509999999999262e-01	1.553157661382485559e-02
5.015699999999999932e+02	2.911109999999999531e-01	1.551090773545435453e-02
5.019300000000000068e+02	2.908660000000000134e-01	1.565155066510095713e-02
5.022799999999999727e+02	2.906579999999999719e-01	1.572038512392251799e-02
5.026399999999999864e+02	2.887589999999999879e-01	1.544203278572985234e-02
5.030000000000000000e+02	2.881030000000000535e-01	1.565865923379137700e-02
5.033600000000000136e+02	2.882870000000000710e-01	1.560756697175372763e-02
5.037200000000000273e+02	2.876009999999999955e-01	1.565715004931186871e-02
5.040799999999999841e+02	2.881179999999999852e-01	1.580281155012895275e-02
5.044399999999999977e+02	2.873689999999999856e-01	1.576891777093998234e-02
5.048000000000000114e+02	2.891029999999999989e-01	1.562222441480939396e-02
5.051600000000000250e+02	2.886529999999999929e-01	1.612397449279936307e-02
5.055199999999999818e+02	2.910169999999999702e-01	1.595113643112754456e-02
5.058799999999999955e+02	2.902959999999999985e-01	1.624438290610018612e-02
5.062400000000000091e+02	2.898260000000000280e-01	1.605169912778359534e-02
5.066000000000000227e+02	2.886090000000000044e-01	1.608154701306231324e-02
5.069599999999999795e+02	2.869049999999999656e-01	1.610426032314292086e-02
5.073199999999999932e+02	2.868990000000000151e-01	1.595694104979606190e-02
5.076800000000000068e+02	2.872179999999999733e-01	1.569871387513427363e-02
5.080400000000000205e+02	2.877260000000000373e-01	1.606545633062164344e-02
5.083999999999999773e+02	2.878720000000000168e-01	1.612531273081755506e-02
5.087599999999999909e+02	2.874959999999999738e-01	1.634376647736582311e-02
5.091100000000000136e+02	2.894950000000000023e-01	1.593387309057865686e-02
5.094700000000000273e+02	2.885630000000000139e-01	1.630329885159578773e-02
5.098299999999999841e+02	2.892139999999999711e-01	1.634222222071133115e-02
5.101899999999999977e+02	2.946010000000000018e-01	1.406181586582772904e-02
5.105500000000000114e+02	2.890970000000000484e-01	1.616975585949136790e-02
5.109100000000000250e+02	2.873829999999999996e-01	1.611202884321041862e-02
5.112699999999999818e+02	2.883319999999999772e-01	1.595933142570689009e-02
5.116299999999999955e+02	2.884980000000000322e-01	1.611060587866817995e-02
5.119900000000000091e+02	2.892480000000000051e-01	1.619336872508825992e-02
5.123500000000000227e+02	2.892349999999999643e-01	1.549435060128547675e-02
5.127000000000000455e+02	2.885069999999999579e-01	1.552635623347889404e-02
5.130599999999999454e+02	2.879690000000000305e-01	1.573093734934091423e-02
5.134199999999999591e+02	2.881179999999999852e-01	1.611905441119643526e-02
5.137799999999999727e+02	2.886730000000000129e-01	1.579163119081327532e-02
5.141399999999999864e+02	2.880289999999999795e-01	1.593196545383595078e-02
5.145000000000000000e+02	2.866289999999999116e-01	1.577946566128129655e-02
5.148600000000000136e+02	2.895249999999999768e-01	1.562497937776416955e-02
5.152100000000000364e+02	2.875289999999999790e-01	1.572421334898647591e-02
5.155700000000000500e+02	2.877849999999999575e-01	1.608747962098337758e-02
5.159299999999999500e+02	2.851090000000000013e-01	1.582828371758746716e-02
5.162899999999999636e+02	2.865940000000000154e-01	1.617066639182057619e-02
5.166499999999999773e+02	2.867730000000000001e-01	1.634482670789480160e-02
5.170099999999999909e+02	2.880510000000000015e-01	1.639848187079117128e-02
5.173600000000000136e+02	2.869560000000000444e-01	1.609058490753728643e-02
5.177200000000000273e+02	2.869670000000000276e-01	1.557874735015623603e-02
5.180800000000000409e+02	2.857809999999999517e-01	1.592723142922209192e-02
5.184400000000000546e+02	2.852540000000000076e-01	1.616145181872250675e-02
5.187999999999999545e+02	2.868900000000000339e-01	1.638272219952064540e-02
5.191499999999999773e+02	2.861219999999999875e-01	1.624383190971610130e-02
5.195099999999999909e+02	2.870679999999999898e-01	1.615618249738745918e-02
5.198700000000000045e+02	2.875940000000000163e-01	1.669636402201256017e-02
5.202300000000000182e+02	2.867049999999999321e-01	1.642630811635205704e-02
5.205900000000000318e+02	2.868710000000000426e-01	1.638414826389621506e-02
5.209400000000000546e+02	2.861679999999999779e-01	1.625608130994538394e-02
5.212999999999999545e+02	2.869439999999999769e-01	1.620069410035672799e-02
5.216599999999999682e+02	2.860779999999999990e-01	1.615101591575932721e-02
5.220199999999999818e+02	2.873590000000000311e-01	1.626223139328944814e-02
5.223700000000000045e+02	2.866460000000000119e-01	1.627540675033619169e-02
5.227300000000000182e+02	2.868480000000000474e-01	1.604619088063512569e-02
5.230900000000000318e+02	2.874340000000000228e-01	1.657022049072102640e-02
5.234500000000000455e+02	2.872500000000000053e-01	1.647249316621837711e-02
5.237999999999999545e+02	2.860260000000000025e-01	1.620657967891093662e-02
5.241599999999999682e+02	2.870030000000000081e-01	1.645414591794083087e-02
5.245199999999999818e+02	2.878340000000000343e-01	1.654734723284806766e-02
5.248799999999999955e+02	2.873440000000000438e-01	1.682215887849514840e-02
5.252300000000000182e+02	2.869059999999999944e-01	1.646282655628195438e-02
5.255900000000000318e+02	2.863350000000000062e-01	1.634836663604858839e-02
5.259500000000000455e+02	2.856100000000000305e-01	1.620898598514622369e-02
5.263099999999999454e+02	2.848150000000000404e-01	1.629302933772599701e-02
5.266599999999999682e+02	2.863910000000000067e-01	1.613937754892259477e-02
5.270199999999999818e+02	2.855429999999999913e-01	1.614270334306563276e-02
