Array_1	Array_2	Array_3	Array_4	Array_5	Array_6	Array_7	Array_8	Array_9	Array_10	Array_11
3.587400000000000091e+02	0.000000000000000000e+00	3.666699999999999959e-01	-2.000000000000000111e-01	-5.999999999999999778e-01	-2.166700000000000292e-01	-3.833300000000000041e-01	-1.666700000000000126e-01	-2.999999999999999889e-01	-3.499999999999999778e-01	-7.666699999999999626e-01
3.591100000000000136e+02	-4.029900000000000149e-01	-5.969999999999999613e-02	-1.343300000000000050e-01	-1.044800000000000034e-01	-2.985099999999999976e-01	-2.686600000000000099e-01	3.134299999999999864e-01	-5.074600000000000222e-01	7.463000000000000189e-02	-1.343300000000000050e-01
3.594900000000000091e+02	-1.954550000000000232e+00	-1.227270000000000083e+00	-5.000000000000000000e-01	-1.318180000000000129e+00	-1.363639999999999963e+00	-2.000000000000000000e+00	-2.272730000000000139e+00	-1.636360000000000037e+00	-1.363639999999999963e+00	-9.545500000000000096e-01
3.598600000000000136e+02	-4.482800000000000118e-01	-5.172399999999999221e-01	-7.586199999999999610e-01	-6.896599999999999397e-01	-5.862100000000000088e-01	-1.034500000000000003e-01	-3.103400000000000047e-01	-1.482760000000000078e+00	-1.172409999999999952e+00	-1.620689999999999964e+00
3.602400000000000091e+02	-2.000000000000000111e-01	9.090999999999999082e-02	5.272700000000000164e-01	5.636399999999999189e-01	1.818199999999999816e-01	-1.818000000000000171e-02	-5.818200000000000038e-01	-3.818200000000000482e-01	-2.545499999999999985e-01	-3.454500000000000348e-01
3.606100000000000136e+02	-4.255299999999999638e-01	-2.340399999999999980e-01	-1.702100000000000002e-01	4.254999999999999755e-02	-6.382999999999999785e-02	-3.404300000000000104e-01	-8.510999999999999122e-02	-1.489399999999999891e-01	8.510999999999999122e-02	-7.446800000000000086e-01
3.609800000000000182e+02	-5.675700000000000189e-01	-2.702700000000000102e-01	-4.054099999999999926e-01	-1.621599999999999986e-01	-7.837800000000000322e-01	-4.054099999999999926e-01	1.351399999999999824e-01	-4.324300000000000366e-01	0.000000000000000000e+00	2.973000000000000087e-01
3.613600000000000136e+02	5.135100000000000220e-01	1.621599999999999986e-01	-4.864900000000000335e-01	-4.054099999999999926e-01	-4.864900000000000335e-01	-2.973000000000000087e-01	-1.351399999999999824e-01	-2.702999999999999847e-02	1.351399999999999824e-01	-7.297299999999999898e-01
3.617300000000000182e+02	-7.692000000000000226e-02	-7.692000000000000226e-02	-3.846000000000000113e-02	7.692000000000000226e-02	1.282099999999999906e-01	0.000000000000000000e+00	-3.846000000000000113e-02	0.000000000000000000e+00	-1.666700000000000126e-01	-3.846000000000000113e-02
3.621000000000000227e+02	-1.694999999999999979e-02	1.355899999999999883e-01	-3.389999999999999958e-02	-1.694900000000000295e-01	-3.389800000000000590e-01	-3.050800000000000178e-01	-4.576299999999999812e-01	-5.084699999999999775e-01	-4.915299999999999669e-01	-3.389800000000000590e-01
