Array_1	Array_2	Array_3	Array_4	Array_5	Array_6	Array_7	Array_8	Array_9	Array_10	Array_11
3.561200000000000045e+02	1.628209999999999935e+00	-2.128000000000000030e-02	-1.914900000000000213e-01	-2.766000000000000125e-01	-2.766000000000000125e-01	-1.702100000000000002e-01	-3.191499999999999893e-01	2.128000000000000030e-02	1.653849999999999820e+00	1.230769999999999920e+00
3.564900000000000091e+02	1.608110000000000150e+00	1.250000000000000000e-01	1.607100000000000195e-01	-3.570999999999999869e-02	1.786000000000000087e-02	-2.142899999999999805e-01	-3.392900000000000360e-01	0.000000000000000000e+00	1.783779999999999921e+00	1.743240000000000123e+00
3.568700000000000045e+02	2.120000000000000107e+00	-6.585400000000000142e-01	-8.292700000000000626e-01	-2.926799999999999957e-01	-6.097599999999999687e-01	-8.048800000000000399e-01	-1.317069999999999963e+00	-1.000000000000000000e+00	1.840000000000000080e+00	1.899999999999999911e+00
3.572400000000000091e+02	1.983609999999999873e+00	-2.978699999999999681e-01	-3.617000000000000215e-01	-6.595699999999999896e-01	-2.128000000000000030e-02	-4.042600000000000082e-01	-4.680899999999999506e-01	-3.829800000000000426e-01	1.901639999999999775e+00	1.901639999999999775e+00
3.576200000000000045e+02	2.211539999999999839e+00	-1.071399999999999991e-01	-2.857100000000000195e-01	-6.428599999999999870e-01	-5.000000000000000000e-01	-2.321399999999999852e-01	0.000000000000000000e+00	8.929000000000000825e-02	2.038460000000000161e+00	1.788459999999999939e+00
3.579900000000000091e+02	1.600000000000000089e+00	-3.278999999999999970e-02	4.098400000000000376e-01	2.459000000000000075e-01	-1.967200000000000060e-01	-3.278999999999999970e-02	-3.278999999999999970e-02	-9.836000000000000298e-02	1.524999999999999911e+00	1.512499999999999956e+00
3.583700000000000045e+02	3.571429999999999882e+00	2.040999999999999759e-02	-1.020400000000000057e-01	-3.061200000000000032e-01	1.836699999999999999e-01	-2.244900000000000229e-01	1.836699999999999999e-01	3.673500000000000099e-01	3.428570000000000118e+00	3.321429999999999882e+00
3.587400000000000091e+02	1.447370000000000045e+00	-5.166699999999999626e-01	1.667000000000000079e-02	-5.000000000000000000e-01	-8.333000000000000129e-02	-3.833300000000000041e-01	-6.500000000000000222e-01	-5.166699999999999626e-01	1.236839999999999939e+00	1.289470000000000116e+00
3.591100000000000136e+02	2.952379999999999782e+00	4.478000000000000036e-02	2.984999999999999806e-02	-2.537300000000000111e-01	-1.492499999999999938e-01	3.582099999999999729e-01	3.283599999999999852e-01	1.492499999999999938e-01	2.547620000000000218e+00	2.428570000000000118e+00
3.594900000000000091e+02	1.796870000000000189e+00	-6.363600000000000367e-01	-1.500000000000000000e+00	-2.636360000000000259e+00	-1.772729999999999917e+00	-9.090900000000000647e-01	-1.181820000000000093e+00	-2.090910000000000046e+00	1.734370000000000189e+00	1.484370000000000189e+00
3.598600000000000136e+02	1.585370000000000168e+00	-3.447999999999999676e-02	-2.069000000000000006e-01	-1.103450000000000042e+00	-1.655170000000000030e+00	-4.827600000000000224e-01	-8.965499999999999581e-01	-5.862100000000000088e-01	1.182930000000000037e+00	1.402439999999999909e+00
3.602400000000000091e+02	1.341180000000000039e+00	-2.000000000000000111e-01	-1.454499999999999960e-01	-1.818000000000000171e-02	-1.454499999999999960e-01	2.000000000000000111e-01	1.454499999999999960e-01	-3.090899999999999759e-01	1.282350000000000101e+00	1.282350000000000101e+00
3.606100000000000136e+02	1.361899999999999888e+00	-2.978699999999999681e-01	-8.510999999999999122e-02	-1.063800000000000023e-01	-1.276599999999999957e-01	-1.702100000000000002e-01	-4.680899999999999506e-01	-4.680899999999999506e-01	1.380949999999999900e+00	1.238099999999999978e+00
3.609800000000000182e+02	1.927539999999999809e+00	-1.891899999999999971e-01	1.621599999999999986e-01	1.621599999999999986e-01	-3.783799999999999941e-01	8.107999999999999929e-02	-1.351399999999999824e-01	-2.973000000000000087e-01	1.695649999999999880e+00	1.594199999999999839e+00
3.613600000000000136e+02	1.546669999999999989e+00	1.621599999999999986e-01	1.891899999999999971e-01	-4.324300000000000366e-01	-5.405400000000000205e-01	-2.702700000000000102e-01	-7.837800000000000322e-01	-2.702700000000000102e-01	1.439999999999999947e+00	1.439999999999999947e+00
3.617300000000000182e+02	1.408700000000000063e+00	2.307700000000000307e-01	-8.974000000000000032e-02	-1.281999999999999980e-02	1.666700000000000126e-01	8.974000000000000032e-02	-4.359000000000000097e-01	-2.179500000000000048e-01	1.252170000000000005e+00	1.130430000000000046e+00
3.621000000000000227e+02	1.630140000000000144e+00	-8.474999999999999201e-02	-3.559300000000000241e-01	-4.745800000000000018e-01	-5.084699999999999775e-01	-1.864399999999999946e-01	2.711899999999999866e-01	0.000000000000000000e+00	1.410959999999999992e+00	1.328770000000000007e+00
3.624800000000000182e+02	1.494120000000000115e+00	2.112699999999999856e-01	1.407999999999999877e-02	3.380299999999999971e-01	1.407999999999999877e-02	-4.224999999999999589e-02	2.957700000000000329e-01	1.407999999999999877e-02	1.682350000000000234e+00	1.517649999999999944e+00
3.628500000000000227e+02	1.776320000000000121e+00	0.000000000000000000e+00	-8.218999999999999917e-02	-5.478999999999999843e-02	1.506800000000000084e-01	1.370000000000000037e-02	-4.110000000000000459e-02	-1.780799999999999883e-01	1.763160000000000061e+00	1.407889999999999864e+00
